
a	 : 2
"alapszerzodes",	 : 1
"alapszerzodesi"	 : 1
"alapszerzodest",	 : 1
"alapvetoen	 : 1
"albania	 : 1
"alcoholic	 : 1
"aldozat"	 : 1
"aldozatokat"	 : 1
"aljas	 : 1
"alkalmas	 : 1
"alkotmany"	 : 1
"alkotmanyba"	 : 1
"alkotmanyba",	 : 1
"alkotmanykoncepcio"	 : 2
"alkotmanykoncepcio?latta	 : 1
"alkotmanyt"	 : 1
"alkotmanyuk"	 : 1
"alkotoi"	 : 1
"all	 : 6
"allamferfi"	 : 1
"allando"	 : 1
"alliberalis	 : 2
"alltatok	 : 1
"altalanos	 : 1
"alternativ"	 : 2
"although	 : 2
"altortenelem"	 : 1
"alulirottak	 : 1
"always"	 : 3
"alyosha"	 : 1
"alyosha,"	 : 1
"amadeus"	 : 1
"amadeus"**	 : 1
"amerikai"	 : 1
"amerikamajmolasnak"velnek.	 : 1
"ami	 : 2
"amici	 : 1
"amig	 : 1
"amikor	 : 1
"an	 : 7
"and	 : 1
"anglianak	 : 1
"annak	 : 1
"anomalies,"	 : 1
"antall	 : 2
"antalli	 : 1
"anti-hero"	 : 2
"antigone"	 : 2
"antiszemi-tizmus"	 : 1
"antiszemitizmust"	 : 1
"any	 : 5
"anyone	 : 1
"anyway,	 : 1
"apartheid"	 : 1
"apologist	 : 1
"apology",	 : 1
"apple	 : 1
"applies	 : 1
"appreciated"	 : 1
"aprankenti	 : 1
"aprosag":	 : 1
"aramlott",	 : 1
"aranygep".	 : 1
"are	 : 2
"areopagitica",	 : 1
"arja",	 : 1
"arnold	 : 1
"arpad"	 : 2
"arra	 : 1
"art"	 : 2
"artatlan"	 : 1
"artatlansagat"	 : 1
"artificial	 : 1
"as	 : 6
"asia/pacific	 : 1
"asian	 : 1
"asians	 : 1
"asset"	 : 1
"astrophil	 : 2
"aszuk,	 : 1
"at	 : 2
"atomgombot"	 : 1
"atszervezes"	 : 1
"attempt	 : 1
"attetelesen"	 : 1
"atvilagitana"onmagat,	 : 1
"aucassin	 : 1
"ausztria	 : 1
"authentic"	 : 1
"authoritarian	 : 1
"autonomy"	 : 1
"autonomy,"	 : 1
"available	 : 1
"avid"	 : 1
"az	 : 27
"az"	 : 1
"az,	 : 1
"azemigracioba	 : 1
"azert	 : 1
"azesemeny	 : 1
"azokkal	 : 1
"azonnali	 : 1
"azt	 : 1
"aztovabbra	 : 1
"azunio	 : 1
"b"	 : 9
"b"ovezet	 : 1
"b)	 : 1
"babylon	 : 1
"badged"	 : 1
"bajnoki	 : 1
"balance	 : 1
"balancing	 : 1
"balesetbol"	 : 1
"balgasagig	 : 1
"balogh	 : 1
"balosokkal".	 : 1
"ban"	 : 1
"bankkonszolidacio"	 : 1
"bankvilag"	 : 1
"bantunegereknek"	 : 1
"barankovics-part"	 : 1
"barn	 : 5
"basically	 : 1
"batoritja"?	 : 1
"batoritjak"	 : 1
"batoritjak"?	 : 1
"bbb	 : 1
"be	 : 2
"bebop"	 : 1
"because	 : 1
"becket"	 : 1
"beckett",	 : 1
"becoming	 : 1
"befektetoi"	 : 1
"befektetoi",	 : 1
"before	 : 1
"behozhatatlan",	 : 1
"beinteni"	 : 1
"beinteni".	 : 1
"beintett".	 : 1
"bejott",	 : 2
"bekeakciojanak"	 : 1
"bekes	 : 2
"bela"	 : 1
"belathatatlan"	 : 1
"bele	 : 1
"belepodij"-ba	 : 1
"belso"	 : 1
"belulrol	 : 1
"benefit	 : 1
"benefits	 : 1
"benyomas"	 : 1
"benyomast"	 : 1
"beowulf"	 : 2
"beowulf,"	 : 1
"beruhazok"	 : 1
"best	 : 1
"bestseller"-re	 : 1
"beszedeben"	 : 1
"beszeljuk	 : 1
"betart"	 : 1
"betartjak".	 : 2
"betartjak"..	 : 1
"beteg"	 : 1
"betelt	 : 3
"betrayed	 : 1
"betweenness"	 : 1
"bevallasban".	 : 1
"bevetesevel"	 : 1
"beyond	 : 1
"bezzeg	 : 1
"bhagavad	 : 2
"billy	 : 4
"binding	 : 1
"birches",	 : 1
"birth	 : 1
"bizalomra"	 : 1
"bizonyos	 : 1
"biztak	 : 1
"biztonsagi"	 : 1
"black	 : 2
"blacklist"	 : 1
"bocones",	 : 1
"bogatyaban"	 : 1
"bokros	 : 1
"bokros-tancot":	 : 1
"book"	 : 1
"bookes	 : 2
"boritekolt	 : 3
"boritekolt"	 : 1
"boss"	 : 1
"boszniai	 : 1
"bottoms	 : 1
"bought"	 : 1
"bovitik"	 : 1
"brazen	 : 1
"brown	 : 1
"budos,	 : 1
"building	 : 1
"bukott"	 : 1
"bulizas"	 : 1
"bulvarizu"	 : 1
"burdens	 : 1
"burning."	 : 1
"burokban	 : 1
"burundi-programot",	 : 1
"burundizasa"	 : 1
"business	 : 1
"business-kirandulasok"	 : 1
"but	 : 2
"buy"	 : 1
"by	 : 1
"c";	 : 1
"call	 : 2
"call",	 : 1
"calm"	 : 1
"can	 : 3
"candidate	 : 1
"capable	 : 1
"capital",	 : 1
"caring	 : 1
"carnage,"	 : 1
"carte-blanche"	 : 1
"cash"	 : 1
"catch-all"	 : 1
"catcher	 : 1
"causes	 : 1
"central	 : 2
"cenzurazott"	 : 1
"ceremony"	 : 1
"certificacion	 : 1
"cgi	 : 1
"change	 : 1
"channels"	 : 1
"chase").	 : 1
"chats"	 : 1
"chicago	 : 1
"chicagoi	 : 1
"child-parent"	 : 1
"chunking",	 : 1
"circle"	 : 1
"citizens'	 : 1
"civil"kepviseloi,	 : 1
"civilization",	 : 1
"classical"	 : 1
"clean	 : 1
"clear	 : 1
"coalition	 : 3
"colonel	 : 1
"coming	 : 1
"commercial	 : 1
"commercial"	 : 3
"communication	 : 1
"comparative	 : 1
"compelling"	 : 2
"competent	 : 1
"completely	 : 1
"confessions"	 : 1
"confidential"	 : 1
"confidential",	 : 1
"confusion	 : 1
"conservative	 : 1
"consider	 : 1
"considered,"	 : 1
"consultations"	 : 1
"content	 : 1
"continue	 : 2
"contradicts	 : 1
"contrary	 : 1
"cool	 : 1
"cooperative	 : 1
"coordinated,"	 : 1
"coriolanus"/dickinson**	 : 1
"cosmic"	 : 2
"could	 : 2
"county"	 : 5
"court	 : 1
"cpjs	 : 1
"crack",	 : 1
"crazy	 : 1
"creation"**	 : 1
"crecimiento	 : 1
"credit	 : 1
"criminal	 : 1
"criminalconnections	 : 1
"crisis	 : 1
"criteria"**	 : 1
"critique	 : 1
"crito",,	 : 1
"crossing	 : 1
"crytodiplomacy"	 : 1
"csak	 : 2
"csak"	 : 4
"csak"megelhetesi	 : 1
"csaladparti"]tegnap	 : 1
"csalodott"	 : 1
"csatavesztesenek",	 : 1
"csehszlovak"	 : 1
"csendes	 : 1
"csodagyogyszer"	 : 1
"csupan"	 : 2
"cultural	 : 1
"culture	 : 1
"currently	 : 1
"currently,	 : 2
"custodian	 : 1
"cut-off"	 : 1
"cybercast"	 : 1
"damage	 : 2
"dangerous"	 : 1
"dangerously	 : 1
"dangling	 : 3
"darizta"	 : 1
"darkness"	 : 1
"david	 : 5
"de	 : 2
"de"	 : 1
"dear	 : 1
"death	 : 5
"decentralize	 : 1
"defenses"	 : 1
"defensive"	 : 1
"deklaraltan	 : 1
"deleuropai-	 : 1
"deliberative	 : 1
"delvideki	 : 1
"democracy	 : 1
"democratization"	 : 1
"demokracia"	 : 3
"demokrata"	 : 3
"demokratikus"	 : 1
"demokratikuskent"	 : 1
"demokratizmus"	 : 1
"demokratrizmusat",	 : 1
"desert	 : 1
"desire	 : 2
"despite	 : 1
"destrualo	 : 1
"deterring	 : 1
"deutsche	 : 1
"developed	 : 1
"dial-a-porn"	 : 1
"dialogue",	 : 1
"dictates	 : 1
"did	 : 1
"difficult,	 : 1
"dijazna"	 : 1
"dijaztak",	 : 1
"dinamikus	 : 1
"diplomata"-kikepzesi	 : 1
"directly	 : 1
"disassembly	 : 1
"discourses":	 : 1
"dishonorable"	 : 1
"dislike	 : 1
"display"	 : 2
"disseminated	 : 1
"dissemination	 : 1
"distanced	 : 1
"divine	 : 2
"dniester	 : 2
"do	 : 2
"doctors	 : 1
"dogkeselyu"szelid,	 : 1
"dogkeselyuk".	 : 1
"dogoljetek	 : 1
"dolgok",hanem	 : 1
"don	 : 3
"dor-zsolt	 : 1
"dover	 : 1
"down",	 : 1
"dream	 : 1
"dreamed"	 : 1
"dubliners"**	 : 1
"dubliners'	 : 1
"due	 : 1
"during	 : 1
"durvasaga"	 : 2
"earnest"	 : 1
"ebersege"	 : 1
"ebredj	 : 1
"economy".	 : 1
"educational	 : 1
"effect	 : 1
"efforts	 : 1
"egy	 : 3
"egyebkent	 : 1
"egyedul	 : 1
"egyenileg"	 : 1
"egyenkent	 : 1
"egyenrangu".	 : 1
"egyetertek!"	 : 1
"egyetlen	 : 1
"egyfiatal	 : 1
"egyik	 : 1
"egymasirant	 : 1
"egyoldalu	 : 1
"egyseg"	 : 1
"egyuttmukodes",	 : 1
"egyuttmukodest"eroltetni!]	 : 1
"egyuttmukodtunk",	 : 1
"ehes	 : 1
"el	 : 1
"eladni"	 : 1
"elbizonytalanodott"	 : 1
"eleanor	 : 3
"electronikus"	 : 1
"elege	 : 1
"elejet	 : 1
"elemekre"	 : 1
"elements	 : 1
"elenchus"	 : 1
"elerhetetlenne"	 : 1
"elerheto"][kleptokratak	 : 1
"elerni",	 : 1
"elet-halal	 : 1
"eletkepek"	 : 1
"elfelejti"	 : 1
"elfogadasaval"	 : 1
"elfogadhatatlannak"	 : 1
"elfogadhatatlanok"	 : 1
"elit"	 : 2
"elit"megdontesere]az	 : 1
"elite"	 : 1
"elitelik",	 : 1
"eljarna	 : 1
"elkell	 : 1
"elkesett	 : 1
"elkezdtek	 : 1
"ellenerteket"	 : 1
"ellenorzesi	 : 1
"ellenorzovizsgalatoknak	 : 1
"ellenseg"	 : 1
"ellenzek"	 : 1
"elmondta"][mondja	 : 1
"elnek"	 : 1
"elnemitott"	 : 1
"eloadas	 : 1
"elolvadasa".1989-ben	 : 1
"elolvadt"	 : 1
"elony"	 : 1
"elonyos	 : 1
"elore	 : 1
"elorevetiti"?	 : 1
"elosegitik"	 : 1
"elpolitizalasa"az,	 : 1
"elso	 : 2
"elsopriamerikat"	 : 1
"eltuntetodik",akkor	 : 1
"emergency	 : 1
"en	 : 6
"encourage	 : 1
"encroached	 : 1
"end	 : 1
"endangeringpublic	 : 1
"energy	 : 1
"engaged"	 : 1
"engaging	 : 1
"engedmenyeket"	 : 1
"engineers"	 : 1
"enlightented	 : 1
"ennek	 : 1
"enthusiasts"	 : 1
"eredmenyezte".a	 : 1
"erelyes	 : 1
"erkolcsi	 : 1
"erkolcstelenseget"]"financial	 : 1
"erobol"	 : 1
"erted	 : 1
"ertelmez"	 : 1
"ertelmez".	 : 1
"ertelmisegi"	 : 1
"erthetetlen"	 : 8
"erzelmi	 : 2
"es	 : 2
"esetleges	 : 1
"essential"	 : 1
"esterhazy	 : 1
"eszme-felsoresz-keszitok"	 : 1
"etnikai	 : 1
"etnikai"	 : 1
"europa-kozpontu	 : 1
"europaba"!...	 : 1
"ev-szazad	 : 1
"even	 : 2
"everything	 : 1
"evolution"	 : 1
"evrol	 : 1
"evszazad	 : 2
"ex-urbok"	 : 2
"exaggerated"	 : 1
"examines	 : 1
"executive	 : 1
"executive"-	 : 1
"expects	 : 1
"exploracion	 : 1
"expressed	 : 1
"extra"	 : 1
"extra-	 : 1
"extremely	 : 1
"ez	 : 1
"ezen	 : 2
"fabricated	 : 1
"faggato"	 : 1
"fairly	 : 1
"fajgyulolet"	 : 1
"fajgyulolettel"	 : 1
"faji	 : 2
"faji,	 : 1
"false"	 : 1
"family	 : 3
"family"	 : 1
"fantasie	 : 2
"farewell	 : 2
"fasisztaveszely"	 : 1
"fasisztazashoz,	 : 1
"fast	 : 1
"father	 : 1
"fear	 : 2
"feedback"	 : 2
"fegyvere"	 : 1
"feher"	 : 4
"fejetol	 : 3
"fejlesztese"	 : 1
"fejlesztettem".	 : 1
"fejlesztik"	 : 1
"fejlett	 : 1
"fekete	 : 1
"feketelistarol".	 : 1
"fel,	 : 1
"felajanlas"].	 : 1
"felajanlasokra"?	 : 1
"felejtette"	 : 1
"felelose	 : 2
"felelotlen	 : 2
"felfuggesztette"	 : 1
"felkel	 : 1
"felkeltette	 : 1
"felmerese"	 : 1
"felminosit"	 : 1
"feloszto-kirovo,	 : 1
"felszabaditasara",	 : 1
"felszamlazas",	 : 1
"feluletes	 : 1
"felulrol"erkezo	 : 1
"felvenni	 : 1
"felvette"	 : 1
"felvettek"	 : 1
"felzabalja"utodait:	 : 1
"fenntartast	 : 1
"fenti	 : 1
"fenyegetes"	 : 1
"fenyegeto	 : 1
"fergeknek	 : 1
"fiberglass:	 : 1
"ficsor	 : 1
"fictitious,"	 : 1
"film	 : 1
"filtration	 : 1
"filtration"	 : 1
"first	 : 2
"first,	 : 1
"five	 : 1
"fogadja	 : 1
"foldre	 : 1
"folyamat"	 : 1
"folyamatok"	 : 1
"folyamok"	 : 1
"fontosabb	 : 1
"foot	 : 1
"for	 : 10
"fordulatevenek"	 : 1
"form"**	 : 1
"forms"	 : 1
"found	 : 1
"fragging"	 : 1
"frakciopartot"	 : 1
"framework	 : 1
"frankenstein"	 : 1
"frankenstein"**	 : 2
"free	 : 1
"free,	 : 1
"freedom	 : 2
"freeze-	 : 1
"friendliness"	 : 2
"friendly"	 : 1
"frozen"	 : 1
"fuggetlen	 : 2
"fuggetlen"	 : 3
"fulfilled	 : 1
"full	 : 1
"fullrespect	 : 1
"fully	 : 1
"funyiroelven"	 : 1
"fureszelni"torgyant.	 : 1
"furthering	 : 1
"fusion"	 : 1
"futamido"	 : 1
"futottak	 : 1
"future	 : 1
"futyulost"	 : 1
"game	 : 1
"garantaljak".	 : 1
"garaudy	 : 1
"gazdasag"	 : 1
"gazdasagi	 : 2
"gazdijanak"	 : 1
"gazt"	 : 1
"general"	 : 1
"generation	 : 2
"gergely,	 : 1
"gerontion"	 : 1
"ghosts"**	 : 1
"give	 : 1
"giving	 : 2
"glasnost".	 : 1
"global	 : 1
"glossary"	 : 1
"go	 : 1
"goes	 : 1
"going	 : 1
"golden	 : 1
"good	 : 2
"good"	 : 1
"government	 : 2
"gozerovel	 : 1
"great	 : 6
"greater	 : 1
"greenhouse	 : 1
"gubanc"	 : 1
"gyanusitgatas	 : 1
"gyerekek,	 : 1
"gyozott	 : 2
"gyuleletkeltesnek"	 : 1
"gyulolet	 : 2
"gyuloletkeltes"	 : 1
"gyuloletkeltesert"]	 : 1
"gyuloletkeltesre	 : 1
"gyulolettorveny"	 : 1
"gyulolettorvenye"	 : 1
"gyumolcse"	 : 1
"h"	 : 1
"h"-val.	 : 1
"ha	 : 13
"hajnal"-t	 : 1
"haladektalanul"?	 : 1
"halalra",	 : 1
"halalt	 : 1
"hallgattassekmeg	 : 1
"hallhato".	 : 1
"happy	 : 1
"haracsolok"	 : 1
"hard	 : 2
"harommillio	 : 1
"haromszogesitese"	 : 1
"has	 : 1
"hat,	 : 1
"hatalomatvetelt"	 : 1
"hatarozottan	 : 1
"hatekony	 : 1
"hatszelevel",	 : 1
"have	 : 4
"hawaii	 : 1
"haz"-zal	 : 1
"hazai	 : 1
"hazasitas"	 : 1
"hazban"	 : 1
"hazorzo	 : 1
"hazudtam"	 : 1
"he	 : 2
"hecclovagnak"	 : 1
"hello	 : 1
"helpless	 : 1
"helyere	 : 1
"helyre	 : 1
"helyreallt	 : 1
"hemingway	 : 1
"het	 : 1
"hibat	 : 1
"high-	 : 1
"highly	 : 1
"hip	 : 1
"hippolytus	 : 1
"hippolytus"	 : 1
"hirben"?]	 : 1
"hirt"	 : 1
"hirtelen	 : 1
"his	 : 1
"history	 : 1
"hitlerezessel"	 : 1
"hitlerezni"	 : 1
"hivatalos	 : 1
"hivatalos"	 : 2
"hivatalos"sajtokozlemenyek	 : 1
"hivatkozasi	 : 2
"hogyan	 : 2
"hogyanlehetseges,	 : 1
"holdudvarahoz	 : 1
"holocaust	 : 1
"holocaust"-ot	 : 1
"holocaust-denial"	 : 1
"holocaust-tagado"	 : 1
"home"	 : 2
"homologate"	 : 1
"homologated"	 : 2
"homologation	 : 2
"homologation"	 : 1
"honszeretet"	 : 1
"horn	 : 3
"hornnak	 : 2
"hoscsinalas"	 : 1
"hosszu	 : 3
"how	 : 1
"however,	 : 2
"hoznak	 : 1
"hozzajarulasat"	 : 1
"huckleberry	 : 1
"hundreds	 : 1
"hungarian	 : 5
"hungarus"	 : 1
"hurra	 : 2
"hypothetical	 : 1
"hysteria"	 : 1
"i	 : 24
"i-thou/i-it"	 : 1
"ia	 : 1
"ideal	 : 1
"ideal"	 : 1
"ideas"	 : 1
"ideiglenes	 : 1
"identitastudat"	 : 1
"identity".	 : 1
"ideology"	 : 1
"if	 : 7
"igazabb"	 : 1
"igaztalan	 : 1
"igen	 : 3
"igerhette",	 : 1
"ikarus"-nak	 : 1
"illegal	 : 1
"ilyen	 : 1
"imidzs"	 : 1
"immediately	 : 1
"imprisonment	 : 1
"in	 : 16
"in"	 : 1
"in",	 : 1
"inadmissible"	 : 1
"incite	 : 1
"indecent"	 : 8
"indecent,"	 : 1
"indian	 : 1
"indians"**	 : 1
"indigent"	 : 1
"individuals	 : 1
"industry	 : 1
"industry".	 : 1
"ineffective	 : 1
"inexpedient"	 : 1
"informacios	 : 1
"informational	 : 1
"ingyenes"	 : 1
"insider	 : 1
"inssjp",	 : 1
"installing	 : 1
"instrument	 : 1
"insulting	 : 1
"integracio"]	 : 1
"intellectual	 : 1
"intelligence	 : 1
"intelligence"	 : 1
"interest"	 : 1
"interim	 : 1
"intermediate	 : 1
"internacionalizmus",	 : 1
"internal	 : 1
"international	 : 2
"internet	 : 3
"interpretation"	 : 1
"intezkedesek"	 : 1
"introducing	 : 1
"investment	 : 1
"invisible	 : 1
"inviting	 : 1
"involuntary	 : 1
"irok"	 : 1
"irreconciliables"	 : 1
"irritate	 : 1
"is	 : 4
"is"	 : 1
"islam",	 : 1
"isten	 : 2
"istvan"	 : 1
"it	 : 8
"it's	 : 4
"italian	 : 1
"itt	 : 2
"ivy	 : 1
"izelitoul",	 : 1
"izgatasnak"	 : 1
"j'accuse"	 : 1
"ja,	 : 1
"jatssza	 : 1
"jatszana"	 : 1
"jatszani".	 : 1
"javaslata	 : 1
"javasolhatna"	 : 1
"javit-e	 : 1
"jazz	 : 2
"jazz",	 : 1
"jean	 : 2
"jegelese"	 : 1
"jelenkor"	 : 1
"jelenletukkel"	 : 1
"jelentos"	 : 1
"jelentos"?]	 : 1
"jeszenszky	 : 1
"jittery"	 : 1
"jo	 : 4
"jo,	 : 1
"job	 : 1
"jobb	 : 1
"jobbrafordulasa"maris	 : 1
"jogallam"	 : 1
"joghezagok"	 : 1
"jogrendszereik	 : 1
"jol	 : 1
"joleti	 : 2
"jonnek	 : 1
"joval	 : 1
"judaism	 : 1
"judeonacizmus"	 : 1
"julius	 : 1
"juridical	 : 1
"just	 : 1
"juttattak"	 : 1
"kakukktojasok"	 : 1
"kamionblokadot"!]hetfon	 : 1
"kapcsolodo	 : 2
"kapisztran	 : 1
"kapitulalt	 : 1
"kapja	 : 1
"kapjak",	 : 1
"karmentesben"	 : 1
"karos	 : 1
"karosodas"	 : 1
"karpatalja	 : 1
"karpotlasi	 : 1
"karrierdiplomata"	 : 1
"karrierdiplomatakat"	 : 1
"katasztrofa"	 : 1
"katonai	 : 1
"kebelezi	 : 1
"kedvelem	 : 1
"kedvezo	 : 1
"kedvezo"	 : 1
"kedvezobbek".]	 : 1
"keleti"	 : 1
"keletnemetek"	 : 1
"kellemetlensegeit",	 : 1
"kellene"kapni	 : 1
"kemeny	 : 1
"kepviselo	 : 1
"kerdezettek"!!!!]	 : 1
"kerdoivet"	 : 1
"kereskedelmiminiszter"	 : 1
"kereskedelmiminiszterium"	 : 1
"keresnie	 : 1
"kereszteny	 : 1
"keresztszulokent",	 : 1
"ketsegbeejto	 : 1
"ketteszakad	 : 1
"kettospolitikat"	 : 1
"key	 : 2
"key"	 : 1
"kezi	 : 1
"ki	 : 4
"kiabrandult	 : 1
"kicsit	 : 1
"kicsuszott"	 : 1
"kid-safe"	 : 1
"kiemelt	 : 1
"kiesett	 : 1
"kikapaszkodni	 : 1
"kikerik	 : 1
"kikuldott"	 : 1
"king	 : 1
"kinlodnak,	 : 1
"kipukkasztanihorn	 : 1
"kirakatrendezest	 : 1
"kiralydrama-hangjatekaert",	 : 1
"kirandulason"	 : 1
"kisebbsegekuralmat"	 : 1
"kiszolgaltatotta	 : 1
"kitartas,	 : 1
"kiteljesedesenek"	 : 1
"kitermelt"	 : 1
"kiurul".	 : 1
"kivanatossag"	 : 1
"klasszikus	 : 1
"kleptokracia",	 : 1
"kleptokrata	 : 1
"kleptokratak	 : 1
"knowingly	 : 1
"kohl	 : 1
"kolcsey	 : 1
"kolcsonos	 : 1
"kolcsonosen	 : 2
"kollektiv	 : 2
"koltemenyeben"	 : 1
"koltsel	 : 1
"kommunista	 : 1
"kommunistakent	 : 1
"komoly	 : 1
"komolytalan	 : 1
"kompromisszumkeszen".	 : 2
"konrad	 : 1
"konspiraciosteoriat"	 : 1
"konyvtar-labtorlo"	 : 1
"konzervativ"	 : 1
"konzultaciok"	 : 1
"konzultaltunk",	 : 1
"korea	 : 1
"kormany"	 : 3
"kormany"-	 : 1
"kormany"-nak	 : 1
"kormanybucsaztato"	 : 1
"kormanybucsuztato	 : 1
"kormanybuktatonak"	 : 1
"kormanyulese":	 : 1
"kormanyzat",	 : 1
"kornyezetszennyezo"	 : 1
"korridort"	 : 1
"kortars"-tol	 : 1
"kovamoszatokra".	 : 1
"kozep-utassagot"	 : 1
"kozepen	 : 1
"kozepen"	 : 2
"kozeputassaga",	 : 1
"kozerdeket	 : 1
"kozhely	 : 1
"kozigazgatasi	 : 1
"kozmetikazasara"]	 : 1
"kozosnevezot".	 : 1
"kozosseg	 : 3
"kozpenzek	 : 3
"kozszolgalati"	 : 1
"koztarsasagi	 : 1
"koztes	 : 1
"kozvelemenyhamisito-intezeteket"	 : 1
"kozvelemenykutatasok"?]a	 : 1
"kozvelemenykutatasokat",	 : 1
"kritika	 : 1
"kubla	 : 1
"kukly"	 : 2
"kukly."	 : 1
"kulfoldi	 : 2
"kulfoldon	 : 1
"kulfoldrol	 : 1
"kulon	 : 1
"kulpolitikaja"	 : 1
"kulpolitikajat",	 : 1
"kulso",	 : 1
"kulturaltan",	 : 1
"kuszik	 : 1
"kyiv	 : 1
"la	 : 2
"lack	 : 1
"lagy"	 : 1
"langok	 : 1
"lantos	 : 1
"lanyommal	 : 1
"lapitottak	 : 1
"large	 : 1
"largest	 : 1
"laser	 : 1
"lassan,	 : 1
"last	 : 3
"lathatatlan",	 : 1
"latin-amerikanizalodasnak"	 : 1
"lazarillo	 : 1
"lazgorbeknek"	 : 1
"lazongo	 : 1
"le	 : 1
"leaking	 : 1
"least	 : 2
"leaving	 : 1
"lebenitott"	 : 1
"leblokkolasaban"]2.	 : 1
"lecsuszo	 : 2
"lee	 : 1
"left",	 : 1
"legalis	 : 1
"legfobb"	 : 1
"legjobb	 : 1
"legkisebb	 : 1
"legnagyobb	 : 4
"legnagyobbkedvezmeny	 : 1
"legvidamabb	 : 1
"lehet-e	 : 1
"lehetetlen"	 : 1
"leisure	 : 1
"lelekeles"	 : 1
"lelektani"	 : 2
"lelkes	 : 1
"lelki	 : 1
"lemon	 : 1
"lengyel	 : 1
"leplezte	 : 1
"lesser-known"	 : 1
"leszogezni	 : 1
"letesits	 : 1
"letezo	 : 1
"letminimumanakmegallapitasara"]mezei	 : 1
"letminimumot"	 : 1
"leuralashoz",	 : 1
"leverik"	 : 1
"lex	 : 1
"liberal	 : 1
"liberalis	 : 1
"liberalis"	 : 2
"liberalisemberek"	 : 1
"liberalizmus"	 : 2
"liberty"**	 : 1
"liberty",	 : 1
"libraries	 : 1
"light	 : 1
"like	 : 1
"lilasagait"	 : 1
"limitless	 : 1
"long	 : 2
"lordship	 : 1
"los	 : 1
"love	 : 2
"low	 : 1
"lynden	 : 1
"lyuk"	 : 1
"ma	 : 1
"mac	 : 1
"machinal."**	 : 1
"machine	 : 1
"maczot	 : 1
"maffianal	 : 1
"maganhaboruja"]mint	 : 1
"maganhaborujat".3.	 : 1
"magas	 : 2
"magasabb	 : 2
"magatol"	 : 1
"magic"	 : 1
"maguk	 : 1
"magyar	 : 15
"magyar"	 : 4
"magyar"televizio	 : 1
"magyar,	 : 1
"magyar-magyar	 : 2
"magyarazatot",	 : 1
"magyarorszag	 : 1
"magyarorszagert",	 : 2
"magyarorszagi	 : 1
"magyarul	 : 2
"mahatma"	 : 1
"main	 : 1
"majd".	 : 1
"majd"]a	 : 1
"major	 : 2
"makrogazdasagi	 : 2
"man	 : 3
"manipulation	 : 1
"many	 : 3
"mar	 : 1
"maradt	 : 1
"marciusi	 : 1
"market	 : 1
"marketing	 : 1
"mas"),	 : 1
"massagat"	 : 2
"masses	 : 1
"massive	 : 1
"master	 : 1
"mathias	 : 1
"measures	 : 1
"meditation"	 : 1
"mega	 : 1
"megallj!"-tkialtani,	 : 1
"megallni	 : 1
"megbizhato	 : 1
