
17:54:31:	 : 1
208.21.132.134	 : 1
21.33.244.205	 : 1
212.25.236.204	 : 1
215.63.135.150	 : 1
219.212.170.152	 : 1
22.148.182.157	 : 1
221.0.134.148	 : 1
223.191.238.130	 : 1
227.141.213.137	 : 1
227.210.91.137	 : 1
227.221.93.129	 : 1
228.193.163.152	 : 1
230.2.219.205	 : 1
230.32.244.205	 : 1
231.128.113.138	 : 1
231.208.53.198	 : 1
232.58.158.128	 : 1
234.35.101.199	 : 1
234.98.34.130	 : 1
24.14.250.203	 : 1
245.153.190.202	 : 1
246.30.177.170	 : 1
25.10.158.137	 : 1
25.187.210.205	 : 1
25.224.183.148	 : 1
25.65.129.208	 : 1
250.236.142.205	 : 1
27.220.116.129	 : 1
29.231.106.142	 : 1
29.75.18.194	 : 1
3.194.123.152	 : 1
3.94.229.206	 : 1
30.4.111.199	 : 1
31.244.93.207	 : 1
32.133.16.207	 : 1
33.242.144.204	 : 1
34.124.114.206	 : 1
34.172.84.155	 : 1
34.5.229.146	 : 1
36.11.91.137	 : 1
37.101.64.164	 : 1
37.110.150.206	 : 1
4.65.204.144	 : 1
40.214.123.140	 : 1
41.165.69.199	 : 1
41.174.149.205	 : 1
41.190.198.205	 : 1
42.21.8.147	 : 1
43.239.196.128	 : 1
43.54.15.129	 : 1
44.29.217.131	 : 1
45.202.194.208	 : 1
46.39.72.199	 : 1
48.43.173.206	 : 1
5.237.109.147	 : 1
50.153.85.206	 : 1
51.151.139.198	 : 1
52.144.231.139	 : 1
54.2.229.143	 : 1
54.29.41.166	 : 1
57.61.3.198	 : 1
6.115.190.199	 : 1
6.172.129.204	 : 1
6.2.14.139	 : 1
61.114.192.128	 : 1
61.67.112.140	 : 1
62.10.17.207	 : 1
64.156.152.204	 : 1
65.71.172.128	 : 1
68.201.64.164	 : 1
69.16.243.205	 : 1
70.176.229.155	 : 1
72.86.71.204	 : 1
73.7.70.207	 : 1
74.16.229.137	 : 1
78.25.42.141	 : 1
83.161.4.196	 : 1
84.144.250.204	 : 1
86.124.252.129	 : 1
87.8.217.161	 : 1
89.169.250.206	 : 1
89.30.124.165	 : 1
99.137.96.202	 : 1
99.63.135.150	 : 1
arpa.in-addr.193.196.153.de.uni-stuttgart.imit.pc-kai	 : 1
at.ac.zamg.zaamus1	 : 1
at.siemens.proxy	 : 1
au.edu.qut.bee.eese.lab.watt	 : 1
au.edu.tafensw.isufw1	 : 1
au.edu.unisa.city.pelican	 : 1
au.edu.unisa.schulz.sat201619	 : 1
au.edu.uwa.styx	 : 1
au.gov.bom.ho.leo	 : 1
au.gov.tas.pacit.anfi	 : 1
au.net.aone.syd.px1	 : 1
au.net.ice.hobart.max-17	 : 1
au.net.tmns.me-a02-pool-167	 : 1
au.oz.su.chem.herring	 : 1
be.eunet.eu000113	 : 1
be.eunet.proxy1	 : 1
be.skynet.charleroi-ppp-5	 : 1
br.com.rio.saoconrado	 : 1
ca.ab.compusmart.remote228	 : 1
ca.bctel.p197-5	 : 1
ca.bctel.p197-86	 : 1
ca.dfo.bio.emerald	 : 1
ca.forestry.nofc.neptune	 : 1
ca.istar.hfx.ts7-16	 : 1
ca.nb.nbnet.btstts01c15	 : 1
ca.nb.nbnet.nwcsts02c24	 : 1
ca.neocom.ns	 : 1
ca.openface.spamburger	 : 1
ca.uwo.slip.ts3-1	 : 1
ca.uwo.slip.ts3-9	 : 1
ch.ethz.rothorn	 : 1
ch.unibe.elwing	 : 1
com.3-cities.bigtca210	 : 1
com.a-o.ppp36	 : 1
com.accesscom.pm1-69	 : 1
com.accesscom.pm2-198	 : 1
com.aol.proxy.www-a2	 : 1
com.aol.proxy.www-d3	 : 1
com.aol.proxy.www-e8	 : 1
com.aol.proxy.www-f2	 : 1
com.aol.proxy.www-h1	 : 1
com.aol.proxy.www-h2	 : 1
com.aol.proxy.www-h3	 : 1
com.aol.proxy.www-j2	 : 1
com.aol.proxy.www-k1	 : 1
com.aol.proxy.www-l1	 : 1
com.aol.proxy.www-l9	 : 1
com.aol.proxy.www-m1	 : 1
com.aol.proxy.www-n1	 : 1
com.arco.inetg1	 : 1
com.atext.crimpshrine	 : 1
com.axionet.mb240	 : 1
com.azstarnet.usr11ip40	 : 1
com.azstarnet.usr3ip27	 : 1
com.azstarnet.usr4ip59	 : 1
com.azstarnet.usr5ip37	 : 1
com.azstarnet.usr7ip56	 : 1
com.azstarnet.usr8ip16	 : 1
com.azstarnet.usr8ip33	 : 1
com.azstarnet.usr8ip41	 : 1
com.azstarnet.usr8ip61	 : 1
com.baxter.roundlake.xp1mpg2	 : 1
com.boeing.www-fw-proxy3	 : 1
com.burgoyne.sl57	 : 1
com.compassnet.ts-hou1-13-7	 : 1
com.compuserve.ad04-081	 : 1
com.compuserve.ad12-125	 : 1
com.compuserve.ad34-203	 : 1
com.compuserve.dd47-182	 : 1
com.compuserve.dd69-017	 : 1
com.compuserve.hd45-063	 : 1
com.compuserve.md19-052	 : 1
com.dancris.mp21	 : 1
com.deltanet.ana1039	 : 1
com.destec.gate1	 : 1
com.doitnow.phx-ts1-4	 : 1
com.doitnow.phx-ts2-4	 : 1
com.dsc.nt-fcr	 : 1
com.dsccc.camelot	 : 1
com.dtn.jayf	 : 1
com.erols.hdf-as1s08	 : 1
com.erols.man-as4s39	 : 1
com.execpc.murgo	 : 1
com.execpc.pm32-21	 : 1
com.fluke	 : 1
com.futureone.ppp15	 : 1
com.gnn.proxy.www-b01	 : 1
com.gnn.proxy.www-b04	 : 1
com.gnn.proxy.www-b05	 : 1
com.gnn.proxy.www-b07	 : 1
com.gnn.proxy.www-c02	 : 1
com.gnn.proxy.www-c08	 : 1
com.gnn.proxy.www-c09	 : 1
com.goodnet.tuc-ts1-6	 : 1
com.gtegsc.mtv.hoffmant	 : 1
com.gulfnet.gn-199-44-230-27	 : 1
com.hac.isfu03	 : 1
com.iafrica.196-7-122-72	 : 1
com.iafrica.196-7-122-75	 : 1
com.ibm.austin.socks	 : 1
com.ibm.watson.socks2	 : 1
com.inacom.keymaster	 : 1
com.infobahnos.plecomp	 : 1
com.innet.tex-98	 : 1
com.interlog.cc.ip203-135	 : 1
com.kaiwan.kaiwan156	 : 1
com.konnections.ip-26	 : 1
com.logica.juliet	 : 1
com.lycos.qe20	 : 1
com.magmacom.dyna143	 : 1
com.mckinley.galileo	 : 1
com.mdc.mdhc.ehuffman	 : 1
com.megavision.col29	 : 1
com.mindspring.dialup.user-168-121-124-61	 : 1
com.mindspring.dialup.user-168-121-87-19	 : 1
com.mnsinc.ghood	 : 1
com.mot.webgate3	 : 1
com.mv.rstandler	 : 1
com.mymnet.www	 : 1
com.nesusa.host68	 : 1
com.netcom.ix.bal-md1-04	 : 1
com.netcom.ix.bir-al2-06	 : 1
com.netcom.ix.col-oh2-18	 : 1
com.netcom.ix.kal-mi1-05	 : 1
com.netcom.ix.min-mn1-17	 : 1
com.netcom.ix.phx-az16-04	 : 1
com.netcom.ix.phx-az3-05	 : 1
com.netcom.ix.sea-wa5-23	 : 1
com.netcom.ix.vie-va8-21	 : 1
com.netscape.h-207-1-137-38	 : 1
com.njcc.ts2-46	 : 1
com.norwest.relay	 : 1
com.nsc.natsemi-bh	 : 1
com.nytimes.gatekeeper	 : 1
com.opentext.firewall2	 : 1
com.oracle.us.gatekeeper	 : 1
com.pacbell.srv.jlbrunn	 : 1
com.pacbell.srv.mnet7	 : 1
com.pcix.newlondon-pm1-dyn4	 : 1
com.pcnet.pcnet1	 : 1
com.pipeline.usa.t2.pipe3	 : 1
com.pipeline.usa.t2.pipe4	 : 1
com.pipex.du.ac212	 : 1
com.primenet.cgz.ip213	 : 1
com.primenet.fhu.ip182	 : 1
com.primenet.phx.ip-20-024	 : 1
com.primenet.phx.ip-20-115	 : 1
com.primenet.tus.ip205	 : 1
com.primenet.yum.ip140	 : 1
com.prodigy.piweba2y-ext	 : 1
com.prodigy.piweba3y-ext	 : 1
com.prodigy.piweba8y-ext	 : 1
com.prodigy.piweba9y-ext	 : 1
com.qnet.ca.lanc01-12	 : 1
com.regiononline.noble	 : 1
com.rockwell.cca.oproxy	 : 1
com.scruznet.sc.mgj	 : 1
com.syspac.p57072	 : 1
com.tasc.read.istdsig	 : 1
com.teleport.ip-pdx17-39	 : 1
com.theriver.pm4.p2	 : 1
com.ti.dragon	 : 1
com.tiptontel.dial-14	 : 1
com.tir.an235	 : 1
com.transport.pdx39	 : 1
com.trw.sp.meweber	 : 1
com.ubet.lou	 : 1
com.utelfla.goba32163	 : 1
com.webcrawler.beach	 : 1
com.wec.bwi.wwwsrvr	 : 1
com.weinberg-group.ns1	 : 1
com.winternet.dialup.ppp-66-128	 : 1
com.wni.seaweed	 : 1
com.world2u.190.i123	 : 1
com.world2u.203.i123	 : 1
com.worldinfonet.d247	 : 1
com.xilinx.unknown-60-201	 : 1
com.zoom.jpye-ppp	 : 1
de.gwdg.mpae.osf1	 : 1
de.ruhr.prima.kelly	 : 1
de.sbs.beast2	 : 1
de.uni-landau.zepf.zepfpc5	 : 1
de.uni-wuerzburg.kks.firewall	 : 1
dk.min.dmi.gate	 : 1
dk.tele.kbh.kbh1-32	 : 1
edu.alaska.giadm.library	 : 1
edu.alaska.uaf-du-04-15	 : 1
edu.albany.asrc.climate.ozone	 : 1
edu.arizona.as.aspc24	 : 1
1.52	 : 1
edu.arizona.atmo.bozone	 : 1
edu.arizona.atmo.chem	 : 1
edu.arizona.atmo.crystal	 : 1
edu.arizona.atmo.cyclone	 : 1
edu.arizona.atmo.fractus	 : 1
edu.arizona.atmo.halo	 : 1
edu.arizona.atmo.jed	 : 1
edu.arizona.atmo.lidar	 : 1
edu.arizona.atmo.nimbus	 : 1
edu.arizona.atmo.ozone	 : 1
edu.arizona.atmo.pearl	 : 1
edu.arizona.atmo.rain	 : 1
edu.arizona.atmo.speedy	 : 1
edu.arizona.atmo.steve	 : 1
edu.arizona.atmo.storm	 : 1
edu.arizona.atmo.stratus	 : 1
edu.arizona.atmo.wave	 : 1
edu.arizona.bpa.su_lab_nt15	 : 1
edu.arizona.cs.lectura	 : 1
edu.arizona.cs.poodle	 : 1
edu.arizona.duna.s2-p1	 : 1
edu.arizona.fos.admin	 : 1
edu.arizona.geo.palynolog	 : 1
edu.arizona.geog.climate	 : 1
edu.arizona.hwr.river	 : 1
edu.arizona.ispe.geo	 : 1
edu.arizona.library.se-pub08	 : 1
edu.arizona.lpl.deuteron	 : 1
edu.arizona.lpl.magcon	 : 1
edu.arizona.lpl.s2	 : 1
edu.arizona.ltrr.abba	 : 1
edu.arizona.opt-sci.titan	 : 1
edu.arizona.pcce.bass	 : 1
edu.arizona.pharm.reganlab	 : 1
edu.arizona.physics.soliton	 : 1
edu.arizona.radiology.gist	 : 1
edu.arizona.rescomp.rc4024	 : 1
edu.arizona.rescomp.rc5113	 : 1
edu.arizona.u.kitts	 : 1
edu.arizona.u.nevis	 : 1
edu.arizona.u.tortola	 : 1
edu.arizona.uug.gas.helium	 : 1
1.41	 : 1
edu.arizona.yuma.eclipse	 : 1
edu.asu.eas.enpc577	 : 1
edu.asu.inre.ppp1-20	 : 1
edu.berkeley.sph.uhall755-1	 : 1
edu.brandeis.ccs.oprian5	 : 1
edu.bu.duckwater	 : 1
edu.caltech.ama.kdv	 : 1
edu.colorado.vivaldi	 : 1
edu.colostate.atmos.entropy	 : 1
edu.columbia.ldgo.bio-kbox-218	 : 1
edu.cwru.lit.lit35435	 : 1
edu.drexel.ece.cbis	 : 1
edu.duke.botany.whslab	 : 1
edu.duke.env.faculty67	 : 1
edu.erau.pr.b58-b5	 : 1
edu.gatech.eas.dougd	 : 1
edu.idbsu.asm8	 : 1
edu.lclark.olin-7	 : 1
edu.louisville.academic.leuthart	 : 1
edu.lsu.srcc.maestro	 : 1
edu.maricopa.mc.mc38x2-25	 : 1
edu.maricopa.pvc.fitfran	 : 1
edu.mass.ssc.dgl	 : 1
edu.miami.rsmas.zebra	 : 1
edu.mit.ll.nearlink	 : 1
edu.msstate.cbi.cobi179	 : 1
edu.mtu.geo.strike	 : 1
edu.nd.helios.kierkegaard	 : 1
edu.neu.sp.a-206-33	 : 1
edu.neu.sp.a-206-35	 : 1
edu.nmt.nighthawk	 : 1
edu.nodak.und.med.library27	 : 1
edu.ohio-state.ag.kh465d	 : 1
edu.ohiou.physplnt.wo32-1n	 : 1
edu.ou.nssl.ork	 : 1
edu.psu.essc.faintsun	 : 1
edu.psu.essc.stomate	 : 1
edu.purdue.atms.warmpool	 : 1
edu.purdue.chem.tilt	 : 1
edu.rice.owlnet.moray	 : 1
edu.sdsmt.ias.mist	 : 1
edu.sdsu.mx3p35	 : 1
edu.shsu.n11_134	 : 1
edu.sjsu.facultypc	 : 1
edu.stanford.grand	 : 1
edu.stanford.p211-mac	 : 1
edu.stanford.rhine	 : 1
edu.sunysb.msrc.cheget	 : 1
edu.tamu.alcorn	 : 1
edu.tamu.coriolis	 : 1
edu.tamu.csrp	 : 1
edu.tamuk.taisun1	 : 1
edu.trinity.engr.newton	 : 1
edu.ucar.atd.kirsh	 : 1
edu.ucar.cgd.gauss	 : 1
edu.ucar.cgd.git	 : 1
edu.ucar.harvest	 : 1
edu.ucar.mmm.birch	 : 1
edu.ucdavis.atm33	 : 1
edu.ucdavis.blueprint	 : 1
edu.ucla.ts.wla.ts16-7	 : 1
edu.ucla.ts.wla.ts22-3	 : 1
edu.ucr.mccluskey	 : 1
edu.ucsb.library.sap14	 : 1
edu.ucsc.ernie	 : 1
edu.ucsd.chagos	 : 1
edu.ucsd.splash	 : 1
edu.udel.strauss	 : 1
edu.uic.nurs.g039	 : 1
edu.uiowa.cbe.cbe7	 : 1
edu.umd.texmex	 : 1
edu.umn.spa.alethea	 : 1
edu.unh.sr.kelvin	 : 1
edu.unh.sr.sherman	 : 1
edu.unl.csd-dgosselin	 : 1
edu.unm.eece.opus	 : 1
edu.usf.cfr.ppp116	 : 1
edu.utah.biology.biol-2-5	 : 1
edu.utah.met.alpental	 : 1
edu.utah.met.radar	 : 1
edu.utexas.csr.laplace	 : 1
edu.utexas.ots.slip-a-4	 : 1
edu.utexas.ph.phym11	 : 1
edu.uwm.csd.alpha2	 : 1
edu.vt.cns.sl011.as2511-11	 : 1
edu.vt.uusa.futura	 : 1
edu.washington.atmos.windy	 : 1
edu.washington.cs.maverick	 : 1
edu.washington.cs.minbar	 : 1
edu.washington.cs.vorlon	 : 1
edu.wisc.meteor.sunset	 : 1
edu.wright.alpha	 : 1
edu.wright.library.pub28	 : 1
edu.yale.net.commons-107-node	 : 1
es.ciemat.ima14	 : 1
es.inm.ofpro	 : 1
es.tid.tidos	 : 1
es.upv.udmf.boyle	 : 1
es.uv.ci.video	 : 1
fi.helsinki.vesuri	 : 1
fi.jyu.co.horus	 : 1
fi.uta.juoru	 : 1
fr.cnes.cst.nikita	 : 1
fr.ens.pyrolite	 : 1
fr.onera.onera	 : 1
fr.polytechnique.jungle	 : 1
fr.univ-rennes1.meule	 : 1
gov.bnl.ags.dilg	 : 1
gov.gfdl.sak	 : 1
gov.lanl.smee	 : 1
gov.llnl.turbulence	 : 1
gov.nasa.gsfc.anchor	 : 1
gov.nasa.gsfc.gscsgi04	 : 1
gov.nasa.ivv.nasa17	 : 1
gov.nasa.jpl.babylon	 : 1
gov.nasa.larc.rti10	 : 1
gov.nasa.larc.sisyphus	 : 1
gov.noaa.abq.noaa3	 : 1
gov.noaa.dvnnwscr.pcg	 : 1
gov.noaa.wrh.nimbo	 : 1
gov.osmre.etana	 : 1
gov.pima.wwm.wwm6556	 : 1
gov.srp.gateway1	 : 1
gov.ucia.relay1-ext	 : 1
gov.usda.nrcs.va.engpc2	 : 1
gov.usgs.wr.pa01fwapas	 : 1
gov.usgs.wr.w210dcascr	 : 1
gov.usps.gk-east	 : 1
hk.ust.ustsu54	 : 1
id.ac.stikom-sby.netra	 : 1
ie.ucg.biomar	 : 1
il.ac.ilwww	 : 1
it.enel.cre.giorgi	 : 1
jp.ac.hokudai.math.galois	 : 1
jp.ac.nagoya-u.ihas.ihas	 : 1
jp.ac.soka.t.mokuren2	 : 1
jp.ac.u-tokyo.ccsr.ccsr117	 : 1
jp.co.hepco.lilac	 : 1
jp.or.aix.ppp235037	 : 1
kr.ac.snu.atmlib	 : 1
kr.ac.snu.nwp2	 : 1
kr.co.nowcom.nownuri	 : 1
kr.nm.kren.proxy	 : 1
kw.moc.hms	 : 1
mil.af.laafb.system120_207	 : 1
mil.af.plh.cirrus	 : 1
mil.af.rl.do.tornado	 : 1
mil.af.rl.ers.wf2v	 : 1
mil.af.safb.pc-2543	 : 1
mil.army.nvl.fyatzeck	 : 1
mil.army.ssdc.n23_102	 : 1
mil.navy.chinalake.steve_meyer	 : 1
mil.nosc.nrad-slip15	 : 1
my.com.stacks.bugh	 : 1
net.albany.pm1ip26-albny	 : 1
net.alter.dynip.ny.new-york.max53.pool054	 : 1
net.alter.dynip.tx.dallas.max1.pool010	 : 1
net.att.dial-access.az.phoenix-1.118	 : 1
net.att.dial-access.ca.los-angeles-3.235	 : 1
net.att.dial-access.co.denver-1.29	 : 1
net.att.dial-access.mn-2.minneapolis-1.21	 : 1
net.att.dial-access.va.middletown-02.181	 : 1
net.att.dial-access.va.middletown-62.215	 : 1
net.bluegrass.noc	 : 1
net.cinti.ppp33	 : 1
net.clark.witsend	 : 1
net.concentric.cnc043045	 : 1
net.concentric.cnc059052	 : 1
net.cyberhighway.phxtech1	 : 1
net.earthlink.max1-so-ca-15	 : 1
net.earthlink.max3-la-ca-42	 : 1
net.eon.planet.ts7_port30	 : 1
net.flash.p-42	 : 1
net.flash.p3-235	 : 1
net.flash.tpm1-45	 : 1
net.fn.mark618	 : 1
net.fuse.riogrande-54	 : 1
net.iadfw.ppp.fw5-25	 : 1
net.ibm.id.jk.slip202-135-7-75	 : 1
net.infi.orf.pa1dsp10	 : 1
net.infini.pm2-s21	 : 1
net.infoave.tnwabg.r1.dial-11	 : 1
net.iu.netport-7	 : 1
net.iwl.p173	 : 1
net.lancite.modem89	 : 1
net.lightspeed.teh-ppp5	 : 1
net.mci.campus.uinet.s03-pm01	 : 1
net.mci.chicago.159.237.189.infolink-204	 : 1
net.mcn.cspm01-041	 : 1
net.metrolink.pc1082	 : 1
net.mich.dialip.pm101-13	 : 1
net.mich.dialip.pm104-05	 : 1
net.micron.ont.cont01p05	 : 1
net.mts.as2c-p15	 : 1
net.nantucket.ppp8	 : 1
net.nl.utrecht.utr99-168	 : 1
net.nome.nome-ts1-p04	 : 1
net.odyssee.pool10_12	 : 1
net.olympus.papm057	 : 1
net.ozemail.proxy.proxy1we0	 : 1
net.pi.amf81	 : 1
net.planet.denv14	 : 1
net.planete.mon3-13	 : 1
net.ricochet.mg128-130	 : 1
net.sat.wn-brn2	 : 1
net.sunvalley.sundialin_02	 : 1
net.tgn.dial38	 : 1
net.theramp.kato-ip-44	 : 1
net.tvs.chk0111	 : 1
net.ultra.cinna	 : 1
net.usit.dynamic.jackson-slip16	 : 1
net.uu.ms.wa.seattle.max2.cust2	 : 1
net.videotron.vl.poste209	 : 1
net.voyager.dial.flnt49	 : 1
net.why.dal.ann1.7	 : 1
nl.xs4all.dial.ztm02-00	 : 1
nl.xs4all.dial.ztm05-13	 : 1
no.asterisk.r1	 : 1
nz.ac.massey.its-www1	 : 1
nz.ac.vuw.its.totara	 : 1
nz.ac.waikato.isis	 : 1
org.cbn.sampson	 : 1
org.fortnet.dynip69	 : 1
org.hall.town	 : 1
org.ngs.mouth	 : 1
org.rain.sb.term1.s19	 : 1
org.shodor.wash	 : 1
org.worldbank.envlwc1	 : 1
ru.ksu.phys-1305	 : 1
ru.nsc.netra	 : 1
ru.rssi.sio.manta	 : 1
se.ffa.eagle	 : 1
se.space.malin	 : 1
se.uu.anst.stiglqst	 : 1
se.uu.hvi.dan	 : 1
se.uu.hvi.hspforsk	 : 1
se.wineasy.ras-26	 : 1
sg.com.singnet.ts900-3525	 : 1
sg.gov.jtc.voyager	 : 1
si.aster.bellis	 : 1
sk.savba.cyril	 : 1
tw.edu.ccu.dorm.g4116a	 : 1
uk.ac.aber.dph.physaa	 : 1
uk.ac.lancs.es-etna	 : 1
uk.ac.leeds.webserv1	 : 1
uk.ac.lgu.pcthcs021	 : 1
uk.ac.man.ee.meehpe	 : 1
uk.ac.nerc-essc.jupiter	 : 1
uk.ac.rl.ag.pcswmb	 : 1
uk.ac.strath.dpp.ppr620pc1	 : 1
uk.co.bull.uk29.d_8de3	 : 1
uk.co.cims.ppp17	 : 1
uk.co.dircon.pool.gw1-034	 : 1
uk.co.maires.cmr_nickm	 : 1
uk.govt.meto.www	 : 1
us.tx.state.cpa.ycal467	 : 1
us.wa.lib.kitsap.linknet	 : 1
za.ac.uct.egs.hickory	 : 1
za.co.telkom.qsom-vdoornj	 : 1
5084	 : 1
/atmoonly/home.html	 : 1
46566	 : 1
/application.html	 : 1
35864	 : 1
/batsmain.html	 : 1
/batsreadme.html	 : 1
31890	 : 1
/betterton.html	 : 1
1.10	 : 1
80232	 : 1
/bruintjes.html	 : 1
98884	 : 1
/campus.html	 : 1
110292	 : 1
/campusmap.html	 : 1
34642	 : 1
/chaos.html	 : 1
21476	 : 1
/chemlab.html	 : 1
28269	 : 1
/codedir.html	 : 1
305693	 : 1
/course.html	 : 1
49446	 : 1
/davies.html	 : 1
255782	 : 1
/dept.shtml	 : 1
52577	 : 1
/dickinson.html	 : 1
7.60	 : 1
15.77	 : 1
1153185	 : 1
/directory.shtml	 : 1
10190	 : 1
/docdir.html	 : 1
5.27	 : 1
139590	 : 1
/faculty.shtml	 : 1
24782	 : 1
/fu.html	 : 1
73610	 : 1
/herman-gps.html	 : 1
56079	 : 1
/herman.html	 : 1
34.09	 : 1
35.07	 : 1
2564029	 : 1
/home.shtml	 : 1
61975	 : 1
/krider.html	 : 1
15445	 : 1
/lemmon.html	 : 1
/mullen.html	 : 1
223250	 : 1
/program.shtml	 : 1
423334	 : 1
/publication.html	 : 1
24628	 : 1
/renno.html	 : 1
1.54	 : 1
112805	 : 1
/research.shtml/	 : 1
154992	 : 1
/research1.html	 : 1
94860	 : 1
/research2.html	 : 1
107748	 : 1
/research3.html	 : 1
13815	 : 1
/research4.html	 : 1
/research5.html	 : 1
50232	 : 1
/research6.html	 : 1
13937	 : 1
/schotland.html	 : 1
24260	 : 1
/sellers.html	 : 1
2960	 : 1
/seminar.html	 : 1
/stats.shtml	 : 1
43600	 : 1
/statsjul95.html	 : 1
29320	 : 1
/statsnow.html	 : 1
5797	 : 1
/weidman.html	 : 1
22176	 : 1
/zehnder.html	 : 1
41153	 : 1
/zeng.html	 : 1
janice	 : 1
**jgray@mail.iserv.net**	 : 1
**111	 : 1
**battle	 : 1
49017**	 : 1
**(616)	 : 1
964-1282**	 : 1
sunday	 : 1
parish,	 : 1
ave	 : 1
49017	 : 1
cryosphere	 : 1
hydrosphere	 : 1
interacts	 : 1
geosphere,	 : 1
biosphere.	 : 1
seasonally	 : 1
climates,	 : 1
ground-water	 : 1
recharge.	 : 1
packs	 : 1
snowmelt	 : 1
hydrologists.	 : 1
translocation	 : 1
anions	 : 1
cations	 : 1
cycles,	 : 1
variability;	 : 1
hydrologic,	 : 1
climatic,	 : 1
agricultural,	 : 1
3-2).	 : 1
dimensions,	 : 1
properties,	 : 1
shelves.	 : 1
reservoirs	 : 1
(glacier	 : 1
freezing).	 : 1
volumes,	 : 1
shelves,	 : 1
permafrost.	 : 1
vapor,	 : 1
precipitation.	 : 1
1960s	 : 1
(gcm)	 : 1
manabe	 : 1
1965;	 : 1
1969).	 : 1
increased,	 : 1
ces-89	 : 1
cycle...,	 : 1
precipitation,	 : 1
hydrology."	 : 1
regional-scale	 : 1
output."	 : 1
fluxes.	 : 1
(walker	 : 1
rowntree,	 : 1
1977,	 : 1
rowntree	 : 1
bolton,	 : 1
rind,	 : 1
shukla	 : 1
mintz,	 : 1
delworth	 : 1
1989).	 : 1
mccorcle	 : 1
thermally	 : 1
breezes.	 : 1
wetzel	 : 1
baroclinic	 : 1
thermodynamic	 : 1
lanicci	 : 1
prestorm	 : 1
initialization	 : 1
region)	 : 1
events--scales	 : 1
4-dimensional	 : 1
assimilations	 : 1
(4dda)	 : 1
mesoscale,	 : 1
hydrometeorological	 : 1
priority:	 : 1
radiant	 : 1
observable	 : 1
(1	 : 1
more)	 : 1
transpiration	 : 1
biomes	 : 1
soils,	 : 1
geology.	 : 1
demonstrated,	 : 1
measurements?	 : 1
day-to-	 : 1
lives:	 : 1
30-km	 : 1
on-farm	 : 1
efficiencies,	 : 1
quantification	 : 1
storages	 : 1
flooding.	 : 1
variability,	 : 1
accurately.	 : 1
gcms.	 : 1
climatologists	 : 1
importance:	 : 1
(liquid	 : 1
runoff-forecasting	 : 1
near-infrared	 : 1
impurities,	 : 1
packs.	 : 1
infrequent.	 : 1
drainage-basin	 : 1
scales)	 : 1
liquid-water	 : 1
coarser	 : 1
all-weather	 : 1
climatologists.	 : 1
doorstep.	 : 1
airsar,	 : 1
data)	 : 1
3-3a,	 : 1
3-3b).	 : 1
(85-90%	 : 1
accuracy)	 : 1
daylight.	 : 1
quantitatively	 : 1
trucks,	 : 1
cm,	 : 1
radiometry)	 : 1
emissivity	 : 1
0.95	 : 1
db.	 : 1
width,	 : 1
complementary;	 : 1
versa.	 : 1
(relative	 : 1
microwave)	 : 1
correlate	 : 1
moistures	 : 1
airborne,	 : 1
ulaby	 : 1
batlivala,	 : 1
1976;	 : 1
1978;	 : 1
